Northern Illinois,48,Nevada-Las Vegas,34
Notre Dame,30,Purdue,14
Ohio State,66,Kent State,0
Oklahoma,34,Tennessee,10
Oklahoma State,43,Texas-San Antonio,13
Old Dominion,17,Eastern Michigan,3
Oregon,48,Wyoming,14
Penn State,13,Rutgers,10
Pittsburgh,42,Florida International,25
South Carolina,38,Georgia,35
Stanford,35,Army,0
Syracuse,40,Central Michigan,3
Texas A&M,38,Rice,10
Texas Christian,30,Minnesota,7
Texas-El Paso,42,New Mexico State,24
Tulane,35,Southeastern Louisiana,20
UCLA,20,Texas,17
Utah State,36,Wake Forest,24
Vanderbilt,34,Massachusetts,31
Virginia,23,Louisville,21
Washington,44,Illinois,19
Washington State,59,Portland State,21
West Virginia,40,Maryland,37
Western Michigan,45,Idaho,33
Auburn,20,Kansas State,14
South Florida,17,Connecticut,14
Alabama,42,Florida,21
Arizona,49,California,45
Arkansas,52,Northern Illinois,14
Arkansas State,21,Utah State,14
Boise State,34,Louisiana-Lafayette,9
Boston College,40,Maine,10
Brigham Young,41,Virginia,33
Buffalo,36,Norfolk State,7
Central Florida,41,Bethune-Cookman,7
Cincinnati,31,Miami (OH),24
Colorado,21,Hawaii,12
Duke,47,Tulane,13
East Carolina,70,North Carolina,41
Florida State,23,Clemson,17
Fresno State,56,Southern Utah,16
Georgia,66,Troy,0
Georgia Southern,28,South Alabama,6
Georgia Tech,27,Virginia Tech,24
Houston,47,Nevada-Las Vegas,14
Illinois,42,Texas State,35
Indiana,31,Missouri,27
Iowa,24,Pittsburgh,20
Kansas,24,Central Michigan,10
Louisville,34,Florida International,3
Marshall,48,Akron,17
Maryland,34,Syracuse,20
Memphis,36,Middle Tennessee State,17
Michigan State,73,Eastern Michigan,14
Minnesota,24,San Jose State,7
Mississippi State,34,Louisiana State,29
Nebraska,41,Miami (FL),31
New Mexico,38,New Mexico State,35
North Carolina State,42,Presbyterian,0
North Texas,77,Nicholls State,3
Northwestern,24,Western Illinois,7
Northwestern State,30,Louisiana Tech,27
Ohio,36,Idaho,24
Oklahoma,45,West Virginia,33
Old Dominion,45,Rice,42
Oregon,38,Washington State,31
Oregon State,28,San Diego State,7
Penn State,48,Massachusetts,7
Purdue,35,Southern Illinois,13
Rutgers,31,Navy,24
South Carolina,48,Vanderbilt,34
Southern Mississippi,21,Appalachian State,20
Temple,59,Delaware State,0
Texas A&M,58,Southern Methodist,6
Toledo,34,Ball State,23
Utah,26,Michigan,10
Wake Forest,24,Army,21
Washington,45,Georgia State,14
Western Michigan,45,Murray State,14
Wisconsin,68,Bowling Green State,17
Wyoming,20,Florida Atlantic,19
Georgia Southern,34,Appalachian State,14
Oklahoma State,45,Texas Tech,35
UCLA,62,Arizona State,27
Fresno State,35,New Mexico,24
Middle Tennessee State,41,Old Dominion,28
Air Force,28,Boise State,14
Akron,21,Pittsburgh,10
Auburn,45,Louisiana Tech,17
Baylor,49,Iowa State,28
Bowling Green State,47,Massachusetts,42
Buffalo,35,Miami (OH),27
California,59,Colorado,56
Clemson,50,North Carolina,35
Colorado State,24,Boston College,21
Florida Atlantic,41,Texas-San Antonio,37
Florida International,34,Alabama-Birmingham,20
Florida State,56,North Carolina State,41
Georgia,35,Tennessee,32
Iowa,24,Purdue,10
Kansas State,58,Texas-El Paso,28
Kentucky,17,Vanderbilt,7
Louisiana State,63,New Mexico State,7
Louisiana-Monroe,22,Troy,20
Louisville,20,Wake Forest,10
Maryland,37,Indiana,15
Miami (FL),22,Duke,10
Michigan State,56,Wyoming,14
Minnesota,30,Michigan,14
Mississippi,24,Memphis,3
Missouri,21,South Carolina,20
Nebraska,45,Illinois,14
Nevada,21,San Jose State,10
Northwestern,29,Penn State,6
Notre Dame,31,Syracuse,15
Ohio,34,Eastern Illinois,19
Ohio State,50,Cincinnati,28
Rice,41,Southern Mississippi,23
Rutgers,31,Tulane,6
San Diego State,34,Nevada-Las Vegas,17
South Alabama,34,Idaho,10
Southern California,35,Oregon State,10
Stanford,20,Washington,13
Temple,36,Connecticut,10
Texas,23,Kansas,0
Texas A&M,35,Arkansas,28
Texas Christian,56,Southern Methodist,0
Texas State,37,Tulsa,34
Toledo,42,Central Michigan,28
Virginia,45,Kent State,13
Virginia Tech,35,Western Michigan,17
Washington State,28,Utah,27
Western Kentucky,36,Navy,27
Wisconsin,27,South Florida,10
Yale,49,Army,43
Arizona,31,Oregon,24
Central Florida,17,Houston,12
Florida International,38,Florida Atlantic,10
Fresno State,24,San Diego State,13
Louisville,28,Syracuse,6
Utah State,35,Brigham Young,20
Air Force,30,Navy,21
Akron,31,Eastern Michigan,6
Alabama-Birmingham,42,Western Kentucky,39
Arizona State,38,Southern California,34
Arkansas State,28,Louisiana-Monroe,14
Army,33,Ball State,24
Auburn,41,Louisiana State,7
Baylor,28,Texas,7
Boise State,51,Nevada,46
Bowling Green State,36,Buffalo,35
California,60,Washington State,59
Central Michigan,28,Ohio,10
Clemson,41,North Carolina State,0
Colorado State,42,Tulsa,17
East Carolina,45,Southern Methodist,24
Florida,10,Tennessee,9
Florida State,43,Wake Forest,3
Georgia,44,Vanderbilt,17
Georgia Southern,36,New Mexico State,28
Georgia Tech,28,Miami (FL),17
Indiana,49,North Texas,24
Kansas State,45,Texas Tech,13
Kentucky,45,South Carolina,38
Louisiana Tech,55,Texas-El Paso,3
Louisiana-Lafayette,34,Georgia State,31
Marshall,56,Old Dominion,14
Memphis,41,Cincinnati,14
Miami (OH),42,Massachusetts,41
Michigan State,27,Nebraska,22
Middle Tennessee State,37,Southern Mississippi,31
Mississippi,23,Alabama,17
Mississippi State,48,Texas A&M,31
New Mexico,21,Texas-San Antonio,9
Northern Illinois,17,Kent State,14
Northwestern,20,Wisconsin,14
Notre Dame,17,Stanford,14
Ohio State,52,Maryland,24
Oklahoma State,37,Iowa State,20
Oregon State,36,Colorado,31
Purdue,38,Illinois,27
Rice,28,Hawaii,14
Rutgers,26,Michigan,24
San Jose State,33,Nevada-Las Vegas,10
South Alabama,47,Appalachian State,21
Texas Christian,37,Oklahoma,33
Texas State,35,Idaho,30
Toledo,20,Western Michigan,19
Utah,30,UCLA,28
Virginia,24,Pittsburgh,19
Virginia Tech,34,North Carolina,17
West Virginia,33,Kansas,14
Central Florida,31,Brigham Young,24
Nevada-Las Vegas,30,Fresno State,27
San Diego State,24,New Mexico,14
Stanford,34,Washington State,17
Akron,29,Miami (OH),19
Alabama,14,Arkansas,13
Alabama-Birmingham,56,North Texas,21
Arkansas State,52,Georgia State,10
Baylor,61,Texas Christian,58
Boston College,30,North Carolina State,14
Bowling Green State,31,Ohio,13
Central Michigan,34,Northern Illinois,17
Clemson,23,Louisville,17
Colorado State,31,Nevada,24
Duke,31,Georgia Tech,25
East Carolina,28,South Florida,17
Eastern Michigan,37,Buffalo,27
Florida State,38,Syracuse,20
Georgia,34,Missouri,0
Georgia Southern,47,Idaho,24
Hawaii,38,Wyoming,28
Houston,28,Memphis,24
Iowa,45,Indiana,29
Iowa State,37,Toledo,30
Kentucky,48,Louisiana-Monroe,14
Liberty,55,Appalachian State,48
Louisiana State,30,Florida,27
Marshall,49,Middle Tennessee State,24
Massachusetts,40,Kent State,17
Miami (FL),55,Cincinnati,34
Michigan,18,Penn State,13
Michigan State,45,Purdue,31
Minnesota,24,Northwestern,17
Mississippi,35,Texas A&M,20
Mississippi State,38,Auburn,23
Navy,51,Virginia Military Institute,14
Notre Dame,50,North Carolina,43
Oklahoma,31,Texas,26
Oklahoma State,27,Kansas,20
Oregon,42,UCLA,30
Rice,41,Army,21
Southern California,28,Arizona,26
Temple,35,Tulsa,24
Tennessee,45,Chattanooga,10
Texas-El Paso,42,Old Dominion,35
Texas-San Antonio,16,Florida International,13
Troy,41,New Mexico State,24
Tulane,12,Connecticut,3
Utah State,34,Air Force,16
Vanderbilt,21,Charleston Southern,20
Washington,31,California,7
